node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario
Pr_E_PL15_02_side;Prot. Est. PL15 02 side;merano;24,879;56,362;signal_mainline;0;0;0,01;577,92;10.91382997;46.62526225;dt_cia_cab
km57000_side;km57000 side;;25,517;57,000;km;0;0;0,01;582,94;10.90597007;46.62690814;dt_cia_cab
Pr_E_CAB_01_side;Prot. Est. Castelbello 01 side;malles;25,869;57,352;signal_mainline;0;0;0,01;585,71;10.90155725;46.62741976;dt_cia_cab
Pr_I_CAB_71_side;Prot. Int. N2 Castelbello 71 side;malles;25,968;57,451;signal_mainline;0;0;0,01;586,49;10.90039191;46.62703566;dt_cia_cab
PL16_side;PL16 side;;25,995;57,478;PL;0;0;0,01;586,7;10.90005455;46.62696582;dt_cia_cab
Pa_E_CAB_61_side;Part. Est. Castelbello 61 side;merano;26,019;57,502;signal_mainline;0;0;0,01;586,89;10.8997447;46.62693488;dt_cia_cab
Pr_I_CAB_51_side;Prot. Int. N1 Castelbello 51 side;malles;26,062;57,545;signal_mainline;0;0;0,01;587;10.89918383;46.62692981;dt_cia_cab
PL17_side;PL17 side;;26,087;57,570;PL;0;0;0,01;587;10.89885783;46.6269412;dt_cia_cab
Pa_I_CAB_31_side;Part. Int. Castelbello 31 side;merano;26,112;57,595;signal_mainline;0;0;0,01;587;10.89853192;46.62695404;dt_cia_cab
CAB_side;Castelbello side;;26,133;57,616;LdS_side;1;0;0,01;587;10.89825815;46.62696463;dt_cia_cab,dt_cab_lac
Pa_CAB_32_side;Part. Castelbello 32 side;malles;26,262;57,745;signal_mainline;0;0;0,01;587,5;10.89657666;46.6270313;dt_cab_lac
Pr_E_CAB_02_side;Prot. Est. Castelbello 02 side;merano;26,412;57,895;signal_mainline;0;0;0,01;590,07;10.89469189;46.62671471;dt_cab_lac
HD_405_02_side;HD 405/02 side;both;27,494;58,977;signal_mainline;0;0;0,01;608,66;10.8821016;46.62365012;dt_cab_lac
km60000_side;km60000 side;;28,517;60,000;km;0;0;0,01;626,23;10.86932373;46.62205894;dt_cab_lac
Pr_E_LAC_01_side;Prot. Est. Laces 01 side;malles;28,658;60,141;signal_mainline;0;0;0,01;628,65;10.8677421;46.62140985;dt_cab_lac
PL18_side;PL18 side;;28,782;60,265;PL;0;0;0,01;630,78;10.86637931;46.62080835;dt_cab_lac
Pr_I_LAC_71_side;Prot. Int. N2 Laces 71 side;malles;28,784;60,267;signal_mainline;0;0;0,01;630,82;10.86635787;46.62079808;dt_cab_lac
Pa_E_LAC_61_side;Part. Est. Laces 61 side;merano;28,808;60,291;signal_mainline;0;0;0,01;631,23;10.86610057;46.62067486;dt_cab_lac
Pr_I_LAC_51_side;Prot. Int. N1 Laces 51 side;malles;29,033;60,516;signal_mainline;0;0;0,01;633;10.86351922;46.61976124;dt_cab_lac
Dev_LAC_01_side;Deviatoio Laces 01 side;;29,083;60,566;SC;0;0;0,01;633;10.86286841;46.619727;dt_cab_lac
Pa_I_LAC_31_side;Part. Int. Laces 31 side;merano;29,201;60,684;signal_mainline;0;0;0,01;633;10.86133003;46.61967372;existing
LAC_side;Laces side;;29,261;60,744;LdS_side;1;1;0,01;633;10.86054716;46.61965521;existing
Pa_I_LAC_32_side;Part. Int. Laces 32 side;malles;29,364;60,847;signal_mainline;0;0;0,01;633;10.85920276;46.61963404;existing
Dev_LAC_02_side;Deviatoio Laces 02 side;;29,480;60,963;SC;0;0;0,01;633,73;10.8576885;46.61963897;dt_lac_cold
