edge_id;node_from;node_to;max_speed_dir_malles;max_speed_dir_merano;length;gradient;scenario;edge_type
Pr_E_RAB_01-Pr_I_RAB_51;Pr_E_RAB_01;Pr_I_RAB_51;130;130;0,102;2,45;base;straight
Pr_I_RAB_51-PL08;Pr_I_RAB_51;PL08;130;130;0,025;0;base;straight
PL08-Pa_I_RAB_31;PL08;Pa_I_RAB_31;130;130;0,023;0;base;straight
Pa_I_RAB_31-RAB;Pa_I_RAB_31;RAB;130;130;0,029;0;base;straight
RAB-Pa_RAB_32;RAB;Pa_RAB_32;130;130;0,119;0,42;base;straight
Pa_RAB_32-Pr_E_RAB_02;Pa_RAB_32;Pr_E_RAB_02;130;130;0,15;2,87;base;straight
Pr_E_RAB_02-HD_302_02;Pr_E_RAB_02;HD_302_02;130;130;1;2,87;base;straight
HD_302_02-Pr_E_PLA_01;HD_302_02;Pr_E_PLA_01;130;130;0,763;2,87;base;straight
Pr_E_PLA_01-Dev_01_PLA;Pr_E_PLA_01;Dev_01_PLA;130;130;0,1;2,87;base;straight
Dev_01_PLA-Pa_PLA_31;Dev_01_PLA;Pa_PLA_31;130;130;0,05;2,87;base;straight
Pa_PLA_31-PLA;Pa_PLA_31;PLA;130;130;0,11;0,27;base;straight
PLA-Pa_PLA_32;PLA;Pa_PLA_32;130;130;0,038;0;base;straight
Pa_PLA_32-PL09;Pa_PLA_32;PL09;130;130;0,024;0;base;straight
PL09-Pr_I_PLA_52;PL09;Pr_I_PLA_52;130;130;0,025;0;base;straight
Pr_I_PLA_52-Pr_E_PLA_02;Pr_I_PLA_52;Pr_E_PLA_02;130;130;0,1;3,7;base;straight
Pr_E_PLA_02-HD_303_02;Pr_E_PLA_02;HD_303_02;130;130;1;4,21;base;straight
HD_303_02-HD_303_04;HD_303_02;HD_303_04;130;130;1;4,21;base;straight
HD_303_04-km48500;HD_303_04;km48500;130;130;0,839;4,22;base;straight
km48500-Pr_E_NAT_01;km48500;Pr_E_NAT_01;70;70;0,041;4,15;base;straight
Pr_E_NAT_01-Pr_I_NAT_51;Pr_E_NAT_01;Pr_I_NAT_51;70;70;0,09;4,22;base;straight
Pr_I_NAT_51-PL10;Pr_I_NAT_51;PL10;70;70;0,03;4;base;straight
PL10-Pa_NAT_31;PL10;Pa_NAT_31;70;70;0,03;0;base;straight
Pa_NAT_31-NAT;Pa_NAT_31;NAT;70;70;0,069;0;base;straight
NAT-Pa_NAT_32;NAT;Pa_NAT_32;70;70;0,092;0;base;straight
Pa_NAT_32-Pr_E_NAT_02;Pa_NAT_32;Pr_E_NAT_02;70;70;0,149;5,64;base;straight
Pr_E_NAT_02-Pr_E_PL11_01;Pr_E_NAT_02;Pr_E_PL11_01;70;70;0,587;5,96;base;straight
Pr_E_PL11_01-Pr_I_PL11_51;Pr_E_PL11_01;Pr_I_PL11_51;70;70;0,101;5,94;base;straight
Pr_I_PL11_51-PL11;Pr_I_PL11_51;PL11;70;70;0,026;6,15;base;straight
PL11-Pr_I_PL11_52;PL11;Pr_I_PL11_52;70;70;0,023;6,09;base;straight
Pr_I_PL11_52-Dev_PL11_02;Pr_I_PL11_52;Dev_PL11_02;70;70;0,023;6,09;base;straight
Dev_PL11_02-Pr_E_PL11_02;Dev_PL11_02;Pr_E_PL11_02;70;70;0,023;6,09;base;straight
Pr_E_PL11_02-SblNatKomp;Pr_E_PL11_02;SblNatKomp;70;70;0,041;8,29;base;straight
SblNatKomp-Pr_E_STA_01;SblNatKomp;Pr_E_STA_01;70;70;0,834;12,89;base;straight
Pr_E_STA_01-Pa_E_STA_61;Pr_E_STA_01;Pa_E_STA_61;70;70;0,15;12,87;base;straight
Pa_E_STA_61-Pr_I_STA_51;Pa_E_STA_61;Pr_I_STA_51;70;70;0,142;12,89;base;straight
Pr_I_STA_51-Dev_STA_01;Pr_I_STA_51;Dev_STA_01;70;70;0,05;6,2;base;straight
Dev_STA_01-Pa_I_STA_31;Dev_STA_01;Pa_I_STA_31;70;70;0,11;0;base;straight
Pa_I_STA_31-STA;Pa_I_STA_31;STA;70;70;0,114;0;base;straight
STA-Pa_I_STA_32;STA;Pa_I_STA_32;70;70;0,066;0;base;straight
Pa_I_STA_32-Dev_STA_02;Pa_I_STA_32;Dev_STA_02;70;70;0,086;0;base;straight
Dev_STA_02-Pr_I_STA_52;Dev_STA_02;Pr_I_STA_52;70;70;0,05;0;base;straight
Pr_I_STA_52-Pa_E_STA_62;Pr_I_STA_52;Pa_E_STA_62;70;70;0,276;0;base;straight
Pa_E_STA_62-PL12;Pa_E_STA_62;PL12;70;70;0,023;0;base;straight
PL12-Pr_I_STA_72;PL12;Pr_I_STA_72;70;70;0,027;0;base;straight
Pr_I_STA_72-Pr_E_STA_02;Pr_I_STA_72;Pr_E_STA_02;70;70;0,101;0,89;base;straight
Pr_E_STA_02-km52000;Pr_E_STA_02;km52000;70;70;0,091;3,3;base;straight
km52000-Dev_PL13_01;km52000;Dev_PL13_01;130;130;0,912;3,28;base;straight
Dev_PL13_01-Pr_E_PL13_01;Dev_PL13_01;Pr_E_PL13_01;130;130;0,05;3,28;base;straight
Pr_E_PL13_01-SblStab21529;Pr_E_PL13_01;SblStab21529;130;130;0,05;3,4;base;straight
SblStab21529-Pr_I_PL13_51;SblStab21529;Pr_I_PL13_51;130;130;0,053;3,21;base;straight
Pr_I_PL13_51-PL13;Pr_I_PL13_51;PL13;130;130;0,024;3,33;base;straight
PL13-Pr_I_PL13_52;PL13;Pr_I_PL13_52;130;130;0,024;3,33;base;straight
Pr_I_PL13_52-Pr_E_PL13_02;Pr_I_PL13_52;Pr_E_PL13_02;130;130;0,103;3,3;base;straight
Pr_E_PL13_02-Pr_E_CIA_01;Pr_E_PL13_02;Pr_E_CIA_01;130;130;0,574;3,28;base;straight
Pr_E_CIA_01-Pa_CIA_31;Pr_E_CIA_01;Pa_CIA_31;130;130;0,15;3,27;base;straight
Pa_CIA_31-CIA;Pa_CIA_31;CIA;130;130;0,121;1,98;base;straight
CIA-Pa_CIA_32;CIA;Pa_CIA_32;130;130;0,027;0;base;straight
Pa_CIA_32-PL14;Pa_CIA_32;PL14;130;130;0,024;0;base;straight
PL14-Pr_I_CIA_62;PL14;Pr_I_CIA_62;130;130;0,024;0;base;straight
Pr_I_CIA_62-Pr_E_CIA_02;Pr_I_CIA_62;Pr_E_CIA_02;130;130;0,103;2,04;base;straight
Pr_E_CIA_02-HD_403_02;Pr_E_CIA_02;HD_403_02;130;130;1;7,87;base;straight
HD_403_02-km55900;HD_403_02;km55900;130;130;0,661;7,87;base;straight
km55900-SblStab24529;km55900;SblStab24529;120;120;0,112;7,86;base;straight
SblStab24529-Pr_E_PL15_01;SblStab24529;Pr_E_PL15_01;120;120;0,096;7,92;base;straight
Pr_E_PL15_01-Dev_PL15_01;Pr_E_PL15_01;Dev_PL15_01;120;120;0,1;7,88;base;straight
Dev_PL15_01-Pr_I_PL15_51;Dev_PL15_01;Pr_I_PL15_51;120;120;0,004;7,88;base;straight
Pr_I_PL15_51-PL15;Pr_I_PL15_51;PL15;120;120;0,023;7,83;base;straight
PL15-Pr_I_PL15_52;PL15;Pr_I_PL15_52;120;120;0,023;7,83;base;straight
Pr_I_PL15_52-Pr_E_PL15_02;Pr_I_PL15_52;Pr_E_PL15_02;120;120;0,104;7,88;base;straight
Pr_E_PL15_02-km57000;Pr_E_PL15_02;km57000;120;120;0,638;7,87;base;straight
km57000-Pr_E_CAB_01;km57000;Pr_E_CAB_01;65;65;0,352;7,87;base;straight
Pr_E_CAB_01-Pr_I_CAB_71;Pr_E_CAB_01;Pr_I_CAB_71;65;65;0,099;7,88;base;straight
Pr_I_CAB_71-PL16;Pr_I_CAB_71;PL16;65;65;0,027;7,78;base;straight
PL16-Pa_E_CAB_61;PL16;Pa_E_CAB_61;65;65;0,024;7,92;base;straight
Pa_E_CAB_61-Pr_I_CAB_51;Pa_E_CAB_61;Pr_I_CAB_51;65;65;0,043;2,56;base;straight
