node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude
Pa_I_STA_31;Part. Int. Stava 31;merano;19,683;51,166;signal_mainline;0;0;0;554
STA;Stava;;19,797;51,28;LdS;1;0;0;554
Pa_I_STA_42;Part. Int. Stava 42;malles;19,863;51,346;signal_side;0;0;0,01;554
Pa_I_STA_32;Part. Int. Stava 32;malles;19,863;51,346;signal_mainline;0;0;0;554
Dev_STA_02;Deviatoio Stava 02;both;19,949;51,432;SC;0;0;0;554
Pr_I_STA_52;Prot. Int. N1 Stava 52;merano;19,999;51,482;signal_mainline;0;0;0;554
Pa_E_STA_62;Part. Est. Stava 62;malles;20,275;51,758;signal_mainline;0;0;0;554
PL12;PL12;;20,298;51,781;PL;0;0;0;554
Pr_I_STA_72;Prot. Int. N2 Stava 72;merano;20,325;51,808;signal_mainline;0;0;0;554
Pr_E_STA_02;Prot. Est. Stava 02;merano;20,426;51,909;signal_mainline;0;0;0;554,09
km52000;km52000;;20,517;52;km;0;0;0;554,39
Pr_E_PL13_01;Prot. Est. PL13 01;malles;21,479;52,962;signal_mainline;0;0;0;557,55
SblStab21529;SblStab21529;;21,529;53,012;Sbl;0;0;0;557,72
Pr_I_PL13_51;Prot. Int. PL13 51;malles;21,582;53,065;signal_mainline;0;0;0;557,89
PL13;PL13;;21,606;53,089;PL;0;0;0;557,97
Pr_I_PL13_52;Prot. Int. PL13 52;merano;21,63;53,113;signal_mainline;0;0;0;558,05
Pr_E_PL13_02;Prot. Est. PL13 02;merano;21,733;53,216;signal_mainline;0;0;0;558,39
Pr_E_CIA_01;Prot. Est. Ciardes 01;malles;22,307;53,79;signal_mainline;0;0;0;560,27
Pa_CIA_31;Part. Ciardes 31;merano;22,457;53,94;signal_mainline;0;0;0;560,76
CIA;Ciardes;;22,578;54,061;LdS;1;0;0;561
Pa_CIA_32;Part. Ciardes 32;malles;22,605;54,088;signal_mainline;0;0;0;561
PL14;PL14;;22,629;54,112;PL;0;0;0;561
Pr_I_CIA_62;Prot. Int. Ciardes 62;merano;22,653;54,136;signal_mainline;0;0;0;561
Pr_E_CIA_02;Prot. Est. Ciardes 02;merano;22,756;54,239;signal_mainline;0;0;0;561,21
HD_403_02;HD 403/02;both;23,756;55,239;signal_mainline;0;0;0;569,08
